#Computing Clustering Coefficient of the graph...
#0.4969825596 
#
#Computing Clusering coefficient of nodes... 
#  {14466: 1.0, 483: 0.38461538461538464, 31260: 0.0}
#Number of connected components:  1065
#k-core [1026, 3075, 516, 1030, 519, 520, 172, 1036, 525, 526, 528, 530, 1027, 533, 1046, 1559, 1048, 1028, 1050, 539, 1566, 549, 550, 551, 1628, 554, 1031, 556, 1069, 1070, 1032, 562, 563, 564, 565, 566, 56, 180, 572, 573, 575, 576, 581, 1095, 72, 585, 74, 75, 76, 1101, 78, 591, 592, 83, 596, 1110, 1111, 88, 89, 2651, 604, 93, 1118, 95, 1040, 613, 614, 273, 188, 106, 107, 621, 111, 624, 1137, 1043, 116, 1653, 631, 1657, 639, 192, 642, 131, 645, 134, 136, 1162, 140, 653, 143, 144, 146, 659, 662, 1049, 664, 666, 155, 672, 1185, 676, 165, 678, 1191, 681, 171, 684, 686, 687, 688, 712, 1139, 692, 694, 184, 186, 700, 1213, 2750, 1216, 1217, 175, 195, 194, 716, 205, 1233, 1234, 723, 213, 3161, 215, 2777, 734, 1061, 225, 228, 229, 232, 233, 234, 235, 240, 241, 243, 245, 1552, 250, 4223, 255, 771, 263, 264, 265, 779, 780, 1154, 479, 1297, 274, 787, 299, 802, 803, 804, 293, 1835, 300, 815, 816, 1672, 1842, 308, 823, 313, 314, 4063, 1340, 1076, 1077, 481, 326, 839, 454, 652, 403, 335, 336, 2091, 851, 345, 1371, 1765, 367, 353, 354, 355, 292, 316, 1387, 1341, 677, 370, 2740, 889, 378, 1087, 893, 382, 383, 1189, 1771, 388, 1935, 400, 402, 915, 404, 920, 923, 924, 925, 416, 417, 420, 423, 425, 426, 4524, 430, 1458, 948, 4681, 441, 442, 444, 586, 446, 448, 449, 450, 452, 1478, 2977, 456, 588, 458, 1068, 462, 504, 470, 471, 473, 1103, 762, 478, 3237, 480, 1104, 1507, 487, 488, 489, 490, 492, 1084, 498, 499, 1193, 1528, 477, 508, 509, 510]





NODE,IN_DEGREE,OUT_DEGREE,CLOSENESS,BETWEENNESS,PAGERANK,CC 
0,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
1,70,70,0.274986119771,0.00189137991519,0.000326926880931,0.0136645962733
2,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
3,5,5,0.235886858406,1.34350393631e-06,1.99984938807e-05,0.6
4,8,8,0.253032832225,4.06018383174e-06,2.67651056575e-05,0.535714285714
5,62,62,0.327044454274,0.00721507711106,0.000167706311889,0.111581173982
6,9,9,0.258949078936,2.24379564543e-05,2.92457632051e-05,0.5
7,14,14,0.267993816996,5.20184717175e-05,3.61253179988e-05,0.494505494505
8,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
9,39,39,0.303872475824,0.00687614944911,0.000167117414341,0.0364372469636
10,4,4,0.215823107834,0.0,1.83920132246e-05,1.0
11,5,5,0.243904200316,4.00476553389e-06,2.05378810459e-05,0.8
12,5,5,0.243904200316,4.00476553389e-06,2.05378810459e-05,0.8
13,15,15,0.262387651132,3.38225123866e-05,4.59978086015e-05,0.285714285714
14,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
15,6,6,0.248613169049,1.8778246878e-05,2.32128602822e-05,0.333333333333
16,5,5,0.248427544482,9.09676861422e-06,1.95647201779e-05,0.3
17,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
18,5,5,0.254713691397,4.23514267276e-05,2.16022187207e-05,0.1
19,3,3,0.212523527212,2.26928209332e-06,2.08519981747e-05,0.0
20,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
21,4,4,0.246162716267,2.0205749279e-06,1.76026131888e-05,0.5
22,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
23,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
24,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
25,2,2,0.243303937582,8.00814401142e-07,1.08235844011e-05,0.0
26,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
27,78,78,0.328338848356,0.00667994614854,0.000180025886158,0.155511155511
28,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
29,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
30,2,2,0.212131610925,1.2315891762e-05,1.64952502803e-05,0.0
31,3,3,0.212523527212,2.26928209332e-06,2.08519981747e-05,0.0
32,2,2,0.212131610925,1.2315891762e-05,1.64952502803e-05,0.0
33,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
34,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
35,3,3,0.234100499207,0.000164418975257,1.95149909773e-05,0.0
36,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
37,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
38,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
39,18,18,0.266076546791,0.00041712800607,7.08761596216e-05,0.0457516339869
40,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
41,3,3,0.234100499207,0.000164418975257,1.95149909773e-05,0.0
42,4,4,0.249041360517,1.94869615945e-05,1.74798150455e-05,0.166666666667
43,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
44,10,10,0.250945908503,0.000127822862804,4.41327239835e-05,0.0444444444444
45,25,25,0.270974290117,0.00125835948704,9.16628421866e-05,0.146666666667
46,112,112,0.348127242599,0.0306325881521,0.00031458511991,0.0727155727156
47,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
48,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
49,10,10,0.258732560897,3.6156946184e-06,2.65011046463e-05,0.644444444444
50,11,11,0.256052082232,4.23176973539e-06,2.96452767108e-05,0.581818181818
51,7,7,0.260786634239,6.0779438397e-05,2.5507601388e-05,0.0
52,3,3,0.234100499207,0.000164418975257,1.95149909773e-05,0.0
53,111,111,0.302739776989,0.00139550154897,0.000233183847141,0.123177723178
54,102,102,0.301986376937,0.00147151288739,0.000243769763162,0.137449039022
55,16,16,0.259374507218,5.96420615015e-05,4.13804980682e-05,0.266666666667
56,309,309,0.325475829746,0.00759425693435,0.000696372569601,0.0615307023074
57,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
58,2,2,0.212131610925,1.2315891762e-05,1.64952502803e-05,0.0
59,11,11,0.252520732874,0.00020454671536,4.96050313462e-05,0.0181818181818
60,12,12,0.27464930046,0.00104940492406,6.73361043722e-05,0.0
61,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
62,12,12,0.262811069089,0.000287295363293,5.16873619287e-05,0.0151515151515
63,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
64,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
65,4,4,0.224910512172,6.8426432972e-05,2.58913959316e-05,0.0
66,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
67,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
68,1,1,0.211620946818,0.0,9.06116368818e-06,0.0
69,6,6,0.263543002416,0.000222079056899,2.76903113299e-05,0.133333333333
70,2,2,0.217660029442,9.264329447e-07,1.24049833419e-05,0.0
71,1,1,0.238372708884,0.0,5.68178848694e-06,0.0
72,377,377,0.321933853031,0.00421504523106,0.000708042775044,0.0694029008409
73,127,127,0.31330570633,0.00157398973262,0.000225413605808,0.123359580052
74,293,293,0.327518687599,0.00549974118639,0.000603301080111,0.0746411706952
75,232,232,0.312445228406,0.00190971341281,0.000413424694848,0.104231974922
